order_id,order_date,User name,products,Total_Items,Total cost,Payment method,City,Store type,Discount_Applied,Customer_Category,Season,Promotion
1000000114,31/07/2021 22:35,Mr. David Casey,"['Pasta', 'Orange']",1,44.08,Debit Card,Los Angeles,Supermarket,TRUE,Teenager,Winter,
1000000121,21/03/2022 14:49,Jason Marshall,"['Vacuum Cleaner', 'Spinach']",8,14.37,Debit Card,Los Angeles,Convenience Store,FALSE,Homemaker,Winter,BOGO (Buy One Get One)
1000000128,30/04/2024 02:08,Kimberly Stevens,['Paper Towels'],6,34.28,Cash,Los Angeles,Warehouse Club,FALSE,Professional,Fall,
1000000147,18/03/2021 13:20,Harold Miller,"['Peanut Butter', 'Coffee']",1,62.25,Cash,Los Angeles,Warehouse Club,TRUE,Middle-Aged,Spring,Discount on Selected Items
1000000152,28/07/2020 04:10,Jason Andrade,['Onions'],8,73.23,Credit Card,Los Angeles,Supermarket,TRUE,Professional,Fall,
1000000155,18/04/2020 01:29,Andre Davis,['Spinach'],6,36.1,Mobile Payment,Los Angeles,Supermarket,FALSE,Senior Citizen,Fall,Discount on Selected Items
1000000164,03/12/2023 03:08,Erik Russell,"['Pickles', 'Cleaning Spray']",7,53.99,Cash,Los Angeles,Department Store,TRUE,Middle-Aged,Winter,
1000000167,24/10/2020 14:25,Douglas Gray,['Power Strips'],8,82.66,Cash,Los Angeles,Specialty Store,TRUE,Homemaker,Summer,
1000000171,14/02/2023 22:57,Regina Andersen,"['Syrup', 'Tuna']",7,55.45,Mobile Payment,Los Angeles,Warehouse Club,TRUE,Senior Citizen,Winter,Discount on Selected Items
1000000180,21/06/2021 05:47,Jose Baker,"['Canned Soup', 'Deodorant', 'Banana', 'Chips', 'Shampoo']",3,33.17,Mobile Payment,Los Angeles,Supermarket,FALSE,Retiree,Spring,BOGO (Buy One Get One)
1000000185,31/03/2020 05:22,Paula Gutierrez,"['Ice Cream', 'Ice Cream', 'Laundry Detergent']",9,80.32,Mobile Payment,Los Angeles,Warehouse Club,TRUE,Homemaker,Spring,
1000000188,13/09/2022 05:58,Luke Hall,"['Bath Towels', 'Vinegar']",5,97.89,Mobile Payment,Los Angeles,Department Store,TRUE,Middle-Aged,Winter,Discount on Selected Items
1000000215,03/01/2020 23:36,Ashley White,"['Coffee', 'Hair Gel', 'Vacuum Cleaner']",4,95.87,Credit Card,Los Angeles,Supermarket,FALSE,Professional,Fall,BOGO (Buy One Get One)
1000000218,04/09/2021 06:01,James Smith,"['Milk', 'Insect Repellent', 'BBQ Sauce', 'BBQ Sauce', 'Hair Gel']",9,52.4,Credit Card,Los Angeles,Department Store,FALSE,Senior Citizen,Summer,BOGO (Buy One Get One)
1000000244,01/04/2022 11:38,James Bailey,"['Tomatoes', 'Laundry Detergent']",3,73.4,Debit Card,Los Angeles,Supermarket,TRUE,Professional,Winter,BOGO (Buy One Get One)
1000000245,16/12/2022 10:50,Sara Lee,"['Shaving Cream', 'Mustard']",10,17.67,Credit Card,Los Angeles,Specialty Store,TRUE,Young Adult,Fall,
1000000251,03/01/2021 09:31,Tamara Burke,"['Razors', 'Coffee', 'Vinegar', 'Chips', 'Chips']",3,32.37,Mobile Payment,Los Angeles,Pharmacy,FALSE,Student,Winter,BOGO (Buy One Get One)
1000000254,01/03/2023 20:48,Brenda Greene,"['Trash Bags', 'Trash Bags', 'Pickles']",5,52.41,Cash,Los Angeles,Department Store,TRUE,Teenager,Winter,
1000000262,14/12/2021 17:24,David Henry,"['Insect Repellent', 'Dishware', 'Apple']",7,12.66,Credit Card,Los Angeles,Supermarket,TRUE,Teenager,Summer,
1000000271,17/12/2022 17:26,Tracey Jackson,"['Syrup', 'Spinach', 'Ironing Board']",7,49.32,Credit Card,Los Angeles,Convenience Store,TRUE,Senior Citizen,Summer,BOGO (Buy One Get One)
1000000273,09/11/2023 07:56,Dwayne Herrera,"['Eggs', 'Paper Towels']",6,35.12,Mobile Payment,Los Angeles,Department Store,TRUE,Teenager,Spring,Discount on Selected Items
1000000279,25/03/2021 23:26,Bryce Smith,"['Shaving Cream', 'Jam']",9,9.39,Credit Card,Los Angeles,Convenience Store,TRUE,Homemaker,Fall,
1000000284,21/10/2022 13:17,Pamela Adams,"['Pancake Mix', 'Cereal']",9,88.86,Mobile Payment,Los Angeles,Pharmacy,FALSE,Senior Citizen,Winter,
1000000296,12/03/2022 19:42,Gerald Massey,"['Mop', 'Ketchup', 'Tomatoes', 'Spinach']",6,29.08,Debit Card,Los Angeles,Convenience Store,FALSE,Senior Citizen,Fall,Discount on Selected Items
1000000306,14/04/2023 07:18,Mary Miller,['Toothpaste'],9,79.37,Debit Card,Los Angeles,Pharmacy,TRUE,Teenager,Summer,BOGO (Buy One Get One)
1000000308,22/06/2023 21:28,Dustin Walker,"['Olive Oil', 'Diapers']",4,40.3,Cash,Los Angeles,Supermarket,FALSE,Professional,Summer,Discount on Selected Items
1000000377,02/07/2023 04:52,Derrick Chen,"['Apple', 'Dustpan', 'Plant Fertilizer', 'Trash Bags', 'Trash Cans']",10,75.92,Credit Card,Los Angeles,Warehouse Club,TRUE,Student,Summer,BOGO (Buy One Get One)
1000000380,20/04/2021 20:48,Victor Stein,"['Hair Gel', 'Dish Soap', 'Rice', 'Salmon']",10,64.22,Mobile Payment,Los Angeles,Specialty Store,FALSE,Senior Citizen,Fall,
1000000404,28/04/2021 13:09,Randy Nelson,['Orange'],2,13.42,Mobile Payment,Los Angeles,Supermarket,TRUE,Retiree,Fall,
1000000412,12/05/2021 01:27,Cameron Garner,"['Power Strips', 'Plant Fertilizer']",7,9.6,Credit Card,Los Angeles,Specialty Store,TRUE,Retiree,Fall,Discount on Selected Items
1000000428,17/04/2022 04:15,Joseph Barrett,['Broom'],8,90.66,Cash,Los Angeles,Specialty Store,TRUE,Student,Fall,
1000000432,25/04/2023 00:06,Mrs. Jessica Pennington,"['Cereal Bars', 'Rice']",8,80.58,Mobile Payment,Los Angeles,Department Store,FALSE,Young Adult,Spring,BOGO (Buy One Get One)
1000000451,25/03/2023 14:23,Stephanie Brown,"['Soda', 'Orange']",4,62.22,Credit Card,Los Angeles,Specialty Store,TRUE,Middle-Aged,Fall,Discount on Selected Items
1000000453,10/03/2020 12:27,Erik Butler,"['Feminine Hygiene Products', 'Toothpaste', 'Dustpan', 'Razors']",1,61.3,Cash,Los Angeles,Supermarket,TRUE,Professional,Spring,Discount on Selected Items
1000000457,22/04/2024 02:54,Rebecca Velazquez,['Vinegar'],2,75.97,Credit Card,Los Angeles,Department Store,FALSE,Senior Citizen,Spring,
1000000461,30/12/2022 07:39,Joseph Marquez,"['Cleaning Spray', 'Water', 'Butter', 'Baby Wipes', 'Soap']",6,96.99,Credit Card,Los Angeles,Convenience Store,FALSE,Professional,Winter,Discount on Selected Items
1000000463,21/03/2021 15:51,Todd Vaughn,"['Hand Sanitizer', 'Deodorant', 'Coffee']",5,20.13,Debit Card,Los Angeles,Convenience Store,FALSE,Young Adult,Spring,
1000000467,01/03/2022 05:12,Benjamin Lee,['Milk'],2,17.37,Cash,Los Angeles,Pharmacy,TRUE,Homemaker,Spring,
1000000468,07/05/2024 02:26,Michael Padilla,"['Beef', 'Shower Gel']",7,6.66,Credit Card,Los Angeles,Specialty Store,TRUE,Retiree,Spring,
1000000482,01/07/2020 07:14,Jennifer West,"['Ketchup', 'Olive Oil', 'Lawn Mower']",9,91,Credit Card,Los Angeles,Warehouse Club,FALSE,Teenager,Summer,Discount on Selected Items
1000000493,07/10/2021 13:59,James Hubbard,"['Pasta', 'Ketchup', 'Bread', 'Butter', 'Soda']",10,44.87,Credit Card,Los Angeles,Supermarket,FALSE,Teenager,Spring,BOGO (Buy One Get One)
1000000494,05/04/2024 08:44,Barbara Mendez MD,"['Pasta', 'Carrots', 'Butter']",3,41.59,Credit Card,Los Angeles,Department Store,FALSE,Teenager,Spring,BOGO (Buy One Get One)
1000000507,12/05/2020 11:11,Robert Robertson,"['Shrimp', 'Cereal']",5,38.07,Cash,Los Angeles,Specialty Store,FALSE,Senior Citizen,Winter,BOGO (Buy One Get One)
1000000524,24/10/2022 11:04,Jordan Kennedy,"['Soda', 'Shaving Cream', 'Diapers', 'Mop', 'Syrup']",2,16.56,Mobile Payment,Los Angeles,Supermarket,TRUE,Senior Citizen,Fall,Discount on Selected Items
1000000526,29/12/2020 22:10,Brenda Martinez,"['Insect Repellent', 'Syrup']",4,74.44,Mobile Payment,Los Angeles,Pharmacy,FALSE,Homemaker,Spring,
1000000531,14/08/2020 11:18,Alyssa Ramos,"['Shampoo', 'Insect Repellent', 'Lawn Mower', 'Vinegar', 'Hand Sanitizer']",6,13.36,Mobile Payment,Los Angeles,Convenience Store,FALSE,Middle-Aged,Spring,Discount on Selected Items
1000000535,03/02/2023 17:14,Garrett Miles,"['Air Freshener', 'Onions', 'Carrots', 'Yogurt', 'Hand Sanitizer']",10,49.05,Mobile Payment,Los Angeles,Department Store,TRUE,Homemaker,Winter,
1000000536,16/02/2024 06:01,Christopher Clark,"['Toilet Paper', 'Hair Gel', 'Cereal', 'Power Strips', 'Peanut Butter']",8,68.28,Mobile Payment,Los Angeles,Supermarket,TRUE,Senior Citizen,Fall,
1000000575,07/04/2021 03:33,Jeffrey May,"['Mustard', 'Plant Fertilizer']",9,48.51,Mobile Payment,Los Angeles,Supermarket,TRUE,Retiree,Summer,Discount on Selected Items
1000000577,21/10/2022 18:55,Christopher Smith,"['Cereal Bars', 'Cleaning Spray', 'Toothpaste']",8,35.74,Debit Card,Los Angeles,Convenience Store,TRUE,Homemaker,Summer,Discount on Selected Items
1000000582,13/05/2023 17:19,Ashley Benton,"['Pancake Mix', 'Extension Cords']",8,63,Debit Card,Los Angeles,Department Store,TRUE,Middle-Aged,Summer,Discount on Selected Items
1000000602,19/09/2021 20:49,Jose Knight,['Tuna'],2,89.05,Mobile Payment,Los Angeles,Specialty Store,TRUE,Young Adult,Fall,
1000000608,08/11/2021 16:50,Timothy White,['Toothpaste'],3,49.5,Mobile Payment,Los Angeles,Pharmacy,TRUE,Senior Citizen,Spring,BOGO (Buy One Get One)
1000000621,12/07/2021 06:14,Lori Ramirez,['Soap'],3,92.17,Cash,Los Angeles,Warehouse Club,FALSE,Retiree,Summer,Discount on Selected Items
1000000626,21/07/2022 05:59,Jason Brown,"['Canned Soup', 'Vinegar', 'Dustpan', 'Bath Towels']",7,61.26,Cash,Los Angeles,Pharmacy,TRUE,Senior Citizen,Summer,BOGO (Buy One Get One)
1000000653,06/01/2024 18:34,Steven Calhoun,"['Mayonnaise', 'Coffee']",4,5.74,Mobile Payment,Los Angeles,Department Store,TRUE,Young Adult,Spring,
1000000664,05/04/2020 00:50,Joseph Newton,"['Sponges', 'Chips']",4,27.72,Mobile Payment,Los Angeles,Convenience Store,FALSE,Professional,Winter,BOGO (Buy One Get One)
1000000669,07/01/2024 07:18,William Turner,"['Toothbrush', 'Sponges']",2,93.68,Debit Card,Los Angeles,Department Store,TRUE,Homemaker,Summer,Discount on Selected Items
1000000671,26/09/2023 19:39,Steve Collins,"['Toothpaste', 'Light Bulbs']",3,92.95,Mobile Payment,Los Angeles,Department Store,FALSE,Middle-Aged,Winter,BOGO (Buy One Get One)
1000000692,22/03/2020 09:35,Terry Villegas,"['Dishware', 'Vinegar', 'Insect Repellent', 'Pancake Mix', 'Razors']",7,14.67,Debit Card,Los Angeles,Department Store,TRUE,Senior Citizen,Spring,Discount on Selected Items
1000000722,23/08/2021 13:04,Jamie Williams,['Bath Towels'],2,34.46,Cash,Los Angeles,Warehouse Club,TRUE,Young Adult,Winter,
1000000732,13/04/2023 01:22,Shelia Edwards,['Pickles'],10,21.76,Cash,Los Angeles,Pharmacy,FALSE,Retiree,Spring,BOGO (Buy One Get One)
1000000738,18/05/2020 11:28,Edward Ramsey,"['BBQ Sauce', 'Butter', 'Banana', 'Plant Fertilizer', 'Coffee']",4,85.25,Mobile Payment,Los Angeles,Convenience Store,TRUE,Young Adult,Summer,
1000000753,16/12/2020 01:36,Daniel Foster,['Vinegar'],9,28.6,Debit Card,Los Angeles,Department Store,FALSE,Retiree,Spring,BOGO (Buy One Get One)
1000000761,29/04/2020 14:07,James Smith,"['Shaving Cream', 'Cleaning Spray', 'Butter', 'Mayonnaise', 'Vinegar']",8,9.8,Debit Card,Los Angeles,Supermarket,FALSE,Middle-Aged,Winter,BOGO (Buy One Get One)
1000000766,21/10/2021 17:41,Austin Reyes,"['Canned Soup', 'Insect Repellent', 'Hand Sanitizer', 'Potatoes']",7,50.98,Mobile Payment,Los Angeles,Supermarket,TRUE,Professional,Spring,Discount on Selected Items
1000000769,25/01/2020 21:28,Steven Andrade,"['Deodorant', 'Mustard', 'Paper Towels', 'Baby Wipes']",4,72.33,Debit Card,Los Angeles,Supermarket,TRUE,Professional,Winter,
1000000779,27/03/2022 14:06,Nicholas Washington,['Milk'],9,69.64,Debit Card,Los Angeles,Specialty Store,FALSE,Middle-Aged,Winter,BOGO (Buy One Get One)
1000000795,03/10/2022 17:54,Joseph Roberts,"['Extension Cords', 'Honey', 'Carrots', 'Cereal', 'Diapers']",8,89.26,Credit Card,Los Angeles,Specialty Store,FALSE,Retiree,Fall,BOGO (Buy One Get One)
1000000796,05/09/2020 08:41,Donna Fitzgerald,"['Toilet Paper', 'Soda', 'Cereal Bars', 'Apple']",4,63.23,Credit Card,Los Angeles,Warehouse Club,FALSE,Teenager,Summer,Discount on Selected Items
1000000799,21/12/2022 11:07,Misty Pena,"['Mayonnaise', 'Toothbrush', 'Water', 'Mop']",6,15.53,Mobile Payment,Los Angeles,Convenience Store,TRUE,Retiree,Fall,Discount on Selected Items
1000000810,10/05/2020 11:24,Tina Mooney,['Vacuum Cleaner'],6,84.84,Debit Card,Los Angeles,Convenience Store,TRUE,Retiree,Fall,
1000000822,25/05/2022 03:53,Douglas Wise,"['Trash Cans', 'Water', 'Shaving Cream', 'Razors']",3,23.93,Debit Card,Los Angeles,Supermarket,FALSE,Retiree,Fall,
1000000840,15/07/2020 09:45,Elizabeth Smith,"['Mustard', 'Coffee', 'Soap']",10,64.33,Cash,Los Angeles,Pharmacy,FALSE,Teenager,Winter,BOGO (Buy One Get One)
1000000864,18/01/2022 02:55,Anthony Haynes,"['Olive Oil', 'Toothpaste']",10,23.35,Debit Card,Los Angeles,Department Store,FALSE,Young Adult,Winter,BOGO (Buy One Get One)
1000000868,25/02/2021 19:19,Larry Hoffman,['Peanut Butter'],8,26.98,Credit Card,Los Angeles,Specialty Store,FALSE,Middle-Aged,Summer,
1000000878,27/12/2023 22:58,Tara Gordon,['Yogurt'],2,70.71,Mobile Payment,Los Angeles,Warehouse Club,FALSE,Young Adult,Winter,
1000000882,06/04/2022 07:40,Timothy Jones,"['Hand Sanitizer', 'Vacuum Cleaner', 'Trash Bags', 'Plant Fertilizer']",10,68.17,Cash,Los Angeles,Convenience Store,FALSE,Teenager,Fall,BOGO (Buy One Get One)
1000000884,04/08/2021 06:49,Rachel Jacobs,"['Baby Wipes', 'Soap', 'Cereal Bars']",1,26.05,Mobile Payment,Los Angeles,Specialty Store,TRUE,Homemaker,Fall,
1000000890,08/04/2021 06:48,Mrs. Brittany Snyder,['Garden Hose'],9,73.05,Credit Card,Los Angeles,Supermarket,FALSE,Retiree,Summer,BOGO (Buy One Get One)
1000000899,21/01/2020 00:48,Jesse Davis,"['Power Strips', 'Diapers', 'Paper Towels', 'Ketchup', 'Paper Towels']",5,73.98,Cash,Los Angeles,Supermarket,FALSE,Professional,Summer,BOGO (Buy One Get One)
1000000914,23/12/2020 07:39,Christina Brooks,"['Pasta', 'Canned Soup']",2,67.11,Credit Card,Los Angeles,Department Store,FALSE,Teenager,Winter,
1000000932,24/04/2021 19:20,Rachel Reyes,"['Pickles', 'Cheese', 'Shaving Cream']",2,33.87,Cash,Los Angeles,Pharmacy,TRUE,Young Adult,Winter,
1000000939,17/02/2023 12:59,Brian Castro,"['Olive Oil', 'Dishware', 'Eggs']",8,36.08,Cash,Los Angeles,Specialty Store,FALSE,Middle-Aged,Fall,
1000000940,30/08/2022 10:39,Jennifer Brock,['Peanut Butter'],5,79.69,Debit Card,Los Angeles,Convenience Store,TRUE,Professional,Winter,Discount on Selected Items
1000000941,09/01/2020 06:19,Kimberly Holden,"['Hand Sanitizer', 'Shampoo']",4,59.33,Mobile Payment,Los Angeles,Warehouse Club,FALSE,Retiree,Fall,BOGO (Buy One Get One)
1000000944,11/01/2022 20:44,David Johnson,"['Coffee', 'Power Strips']",5,17.2,Debit Card,Los Angeles,Specialty Store,TRUE,Middle-Aged,Fall,Discount on Selected Items
1000000947,13/08/2023 02:09,Julie Lindsey,"['Razors', 'Chips', 'Plant Fertilizer', 'Extension Cords', 'Honey']",7,54.78,Cash,Los Angeles,Supermarket,TRUE,Senior Citizen,Fall,
1000000948,23/06/2020 05:47,Angel Johnson,"['Baby Wipes', 'Carrots', 'Butter', 'Dishware', 'Toilet Paper']",10,21.99,Credit Card,Los Angeles,Specialty Store,TRUE,Homemaker,Summer,Discount on Selected Items
1000000956,13/07/2023 09:44,Ryan Owens,"['Shaving Cream', 'Shampoo', 'Lawn Mower', 'Light Bulbs', 'Air Freshener']",1,56.75,Debit Card,Los Angeles,Convenience Store,TRUE,Middle-Aged,Summer,
1000000960,04/09/2023 08:48,Roger Holloway,"['Ice Cream', 'BBQ Sauce', 'Pickles', 'Dustpan']",5,32.94,Debit Card,Los Angeles,Convenience Store,FALSE,Professional,Winter,BOGO (Buy One Get One)
1000000964,06/01/2023 03:29,Anthony Valenzuela,"['Dish Soap', 'Salmon', 'Hand Sanitizer', 'Tuna', 'Syrup']",6,47.66,Credit Card,Los Angeles,Specialty Store,TRUE,Retiree,Summer,Discount on Selected Items
1000000966,21/04/2022 16:27,Kara Fuller,"['Mop', 'Iron', 'Ice Cream']",7,65.68,Debit Card,Los Angeles,Convenience Store,TRUE,Senior Citizen,Winter,
1000000970,26/11/2020 16:49,Brenda Black,['Toothpaste'],2,13.74,Mobile Payment,Los Angeles,Pharmacy,TRUE,Student,Spring,BOGO (Buy One Get One)
1000000980,04/10/2022 01:58,Daisy Weaver,['Baby Wipes'],8,87.47,Debit Card,Los Angeles,Department Store,FALSE,Student,Winter,
1000000981,08/09/2020 16:14,Rebecca Jones,['Paper Towels'],1,31.39,Mobile Payment,Los Angeles,Specialty Store,FALSE,Senior Citizen,Spring,
1000000997,10/01/2022 15:07,Jesse Lewis,"['Hair Gel', 'Yogurt']",4,14.77,Mobile Payment,Los Angeles,Convenience Store,FALSE,Senior Citizen,Summer,BOGO (Buy One Get One)
1000001003,11/02/2020 12:54,Jesse Faulkner,['Salmon'],9,18.95,Debit Card,Los Angeles,Warehouse Club,TRUE,Professional,Winter,
1000001010,14/10/2022 21:55,Shannon Garcia,"['Water', 'Iron', 'Jam', 'Pickles']",2,35.58,Mobile Payment,Los Angeles,Specialty Store,FALSE,Middle-Aged,Winter,Discount on Selected Items
1000001011,24/09/2020 16:59,David Williamson,"['Bath Towels', 'Cleaning Rags', 'Tissues', 'Bath Towels']",9,38.48,Debit Card,Los Angeles,Supermarket,TRUE,Young Adult,Fall,
1000001014,27/10/2023 02:43,Scott Hall,"['Vacuum Cleaner', 'Cheese', 'Cereal Bars', 'Tea']",5,82.57,Cash,Los Angeles,Pharmacy,FALSE,Teenager,Spring,Discount on Selected Items
1000001015,21/04/2023 20:46,Mrs. Kara Brown,"['Jam', 'Olive Oil', 'Salmon', 'Lawn Mower', 'Power Strips']",8,44.88,Credit Card,Los Angeles,Supermarket,FALSE,Senior Citizen,Winter,BOGO (Buy One Get One)
1000001020,01/04/2021 06:10,Daniel Nichols,"['Shower Gel', 'Cheese', 'Diapers', 'Sponges']",5,72.79,Mobile Payment,Los Angeles,Convenience Store,TRUE,Homemaker,Summer,BOGO (Buy One Get One)
1000001027,28/11/2023 07:28,Paul Hernandez,['Power Strips'],3,57.16,Cash,Los Angeles,Pharmacy,TRUE,Homemaker,Summer,BOGO (Buy One Get One)
1000001029,21/02/2021 00:08,Andrea Garcia,"['Pancake Mix', 'Cereal Bars', 'Peanut Butter', 'Toothpaste', 'Deodorant']",3,91.43,Debit Card,Los Angeles,Warehouse Club,TRUE,Teenager,Winter,Discount on Selected Items
1000001039,24/05/2020 11:42,William Stone,"['Broom', 'Hand Sanitizer', 'Orange']",8,99.82,Debit Card,Los Angeles,Convenience Store,FALSE,Student,Summer,BOGO (Buy One Get One)
1000001041,20/10/2023 04:25,Sheila Jackson,"['Butter', 'Milk', 'Tea', 'Bread', 'Canned Soup']",5,84.66,Cash,Los Angeles,Department Store,FALSE,Retiree,Summer,BOGO (Buy One Get One)
1000001042,11/07/2022 07:20,Donna Aguilar,"['Soap', 'Vacuum Cleaner', 'Apple', 'Tuna', 'Orange']",6,42.14,Credit Card,Los Angeles,Department Store,TRUE,Young Adult,Summer,Discount on Selected Items
1000001046,08/05/2024 06:52,Karen Sheppard,"['Bath Towels', 'Feminine Hygiene Products']",3,46.84,Cash,Los Angeles,Pharmacy,FALSE,Student,Spring,Discount on Selected Items
1000001086,20/03/2021 20:53,James Thomas,"['Shrimp', 'Eggs']",5,35.71,Debit Card,Los Angeles,Convenience Store,FALSE,Senior Citizen,Fall,BOGO (Buy One Get One)
1000001089,15/04/2020 09:53,Laura Thompson,['Chicken'],9,51.93,Credit Card,Los Angeles,Pharmacy,FALSE,Student,Summer,
1000001097,29/04/2022 14:51,Andrea Adams,"['Pickles', 'Dish Soap']",4,58.37,Credit Card,Los Angeles,Pharmacy,FALSE,Retiree,Summer,BOGO (Buy One Get One)
1000001115,13/01/2022 20:50,Alexander Maldonado,"['Toothpaste', 'Olive Oil']",9,58.08,Credit Card,Los Angeles,Department Store,FALSE,Homemaker,Winter,BOGO (Buy One Get One)
1000001120,23/11/2023 05:07,Joann Hopkins,"['Cereal', 'Honey', 'BBQ Sauce']",8,6.67,Mobile Payment,Los Angeles,Convenience Store,FALSE,Professional,Fall,Discount on Selected Items
1000001173,03/08/2020 22:31,Erica Dudley,"['Dish Soap', 'Tea', 'Vinegar']",1,35.32,Cash,Los Angeles,Department Store,FALSE,Teenager,Spring,Discount on Selected Items
1000001182,13/11/2023 13:59,Marcus Collins,"['Razors', 'Vacuum Cleaner', 'Syrup']",8,95.47,Debit Card,Los Angeles,Specialty Store,TRUE,Teenager,Winter,
1000001189,23/10/2020 09:46,Olivia Mitchell,['Plant Fertilizer'],3,9.82,Cash,Los Angeles,Warehouse Club,TRUE,Teenager,Winter,Discount on Selected Items
1000001191,01/09/2023 04:59,Cassandra Allen,['Sponges'],2,79.42,Credit Card,Los Angeles,Department Store,TRUE,Retiree,Winter,
1000001203,08/05/2020 05:07,Darren Brown,"['Broom', 'Mayonnaise', 'Razors', 'Sponges', 'Beef']",1,49.11,Mobile Payment,Los Angeles,Supermarket,TRUE,Teenager,Summer,BOGO (Buy One Get One)
1000001204,19/01/2022 17:30,Stacy Koch,"['Lawn Mower', 'Pickles', 'Vinegar']",3,85.51,Cash,Los Angeles,Warehouse Club,FALSE,Middle-Aged,Fall,BOGO (Buy One Get One)
1000001227,24/06/2023 00:45,Colin Burnett,['Toothpaste'],6,65.1,Cash,Los Angeles,Supermarket,TRUE,Retiree,Spring,
1000001246,31/08/2023 14:35,Thomas Marquez,"['Trash Cans', 'Baby Wipes', 'Tuna', 'Tissues', 'Tomatoes']",6,6.34,Debit Card,Los Angeles,Department Store,TRUE,Retiree,Summer,BOGO (Buy One Get One)
1000001254,22/12/2021 00:08,Phillip Olson,"['Shower Gel', 'Cleaning Spray', 'Paper Towels', 'Garden Hose', 'Tomatoes']",2,26.66,Debit Card,Los Angeles,Pharmacy,FALSE,Retiree,Fall,Discount on Selected Items
1000001258,12/07/2023 22:03,Brandon Lane,['Cereal'],4,95.39,Cash,Los Angeles,Department Store,TRUE,Middle-Aged,Summer,
1000001261,24/10/2020 07:02,Anita Campbell,"['Sponges', 'Soap', 'Tomatoes', 'Tomatoes', 'Salmon']",6,77.81,Credit Card,Los Angeles,Department Store,TRUE,Middle-Aged,Fall,Discount on Selected Items
1000001266,18/07/2020 02:16,Ann Roman,"['Sponges', 'Toothpaste', 'Yogurt', 'Coffee', 'Carrots']",1,81.71,Debit Card,Los Angeles,Warehouse Club,TRUE,Teenager,Spring,BOGO (Buy One Get One)
1000001274,24/09/2022 03:52,Matthew Gutierrez,"['Broom', 'Toilet Paper', 'Soap']",3,30.8,Cash,Los Angeles,Pharmacy,TRUE,Homemaker,Spring,
1000001292,20/03/2020 18:21,Cassie Moreno,"['Cereal Bars', 'Toothpaste', 'Salmon', 'Toothbrush']",9,65.89,Debit Card,Los Angeles,Pharmacy,TRUE,Retiree,Fall,Discount on Selected Items
1000001296,30/12/2023 17:57,Joseph Cole,"['Onions', 'Tissues', 'Iron']",1,49.82,Cash,Los Angeles,Warehouse Club,TRUE,Homemaker,Spring,Discount on Selected Items
1000001306,13/01/2021 04:10,Daniel Guzman,"['Shower Gel', 'Olive Oil', 'Garden Hose', 'Laundry Detergent']",9,36.56,Credit Card,Los Angeles,Warehouse Club,FALSE,Teenager,Fall,
1000001315,25/01/2023 06:17,Christopher David,"['Ice Cream', 'Sponges', 'Light Bulbs']",10,90.83,Mobile Payment,Los Angeles,Specialty Store,FALSE,Teenager,Spring,Discount on Selected Items
1000001336,30/01/2021 10:42,Joshua Wright,"['Cereal Bars', 'Cleaning Rags', 'Bread']",4,59.98,Debit Card,Los Angeles,Department Store,TRUE,Homemaker,Spring,BOGO (Buy One Get One)
